Theta, Alpha, Low_beta, High_beta, Gamma
3.266044897,0.902955855,0.269478628,0.270007078,0.115533706
1.730089811,0.861345362,0.161002801,0.074692816,0.105322327
3.828710283,0.728087929,0.738567659,0.566231313,0.381852084
2.421099659,0.89856896,0.352635783,0.230437618,0.203003935
2.232985236,0.939495109,0.305859201,0.299027019,0.136101638
3.266044897,0.902955855,0.269478628,0.270007078,0.115533706
1.730089811,0.861345362,0.161002801,0.074692816,0.105322327
3.828710283,0.728087929,0.738567659,0.566231313,0.381852084
2.421099659,0.89856896,0.352635783,0.230437618,0.203003935
2.232985236,0.939495109,0.305859201,0.299027019,0.136101638
3.393455679,1.05662301,0.217098244,0.161830399,0.12985066
1.715789076,0.551772076,0.149901394,0.063348589,0.132929137
4.51932478,0.913780367,0.672377857,0.614099619,0.298174462
4.565738082,0.769235303,0.295040232,0.202176262,0.20925908
2.348346652,1.032855084,0.241500288,0.158329244,0.148572677
3.393455679,1.05662301,0.217098244,0.161830399,0.12985066
1.715789076,0.551772076,0.149901394,0.063348589,0.132929137
4.51932478,0.913780367,0.672377857,0.614099619,0.298174462
4.565738082,0.769235303,0.295040232,0.202176262,0.20925908
2.348346652,1.032855084,0.241500288,0.158329244,0.148572677
3.393455679,1.05662301,0.217098244,0.161830399,0.12985066
1.715789076,0.551772076,0.149901394,0.063348589,0.132929137
4.51932478,0.913780367,0.672377857,0.614099619,0.298174462
4.565738082,0.769235303,0.295040232,0.202176262,0.20925908
2.348346652,1.032855084,0.241500288,0.158329244,0.148572677
3.393455679,1.05662301,0.217098244,0.161830399,0.12985066
1.715789076,0.551772076,0.149901394,0.063348589,0.132929137
4.51932478,0.913780367,0.672377857,0.614099619,0.298174462
4.565738082,0.769235303,0.295040232,0.202176262,0.20925908
2.348346652,1.032855084,0.241500288,0.158329244,0.148572677
3.393455679,1.05662301,0.217098244,0.161830399,0.12985066
1.715789076,0.551772076,0.149901394,0.063348589,0.132929137
4.51932478,0.913780367,0.672377857,0.614099619,0.298174462
4.565738082,0.769235303,0.295040232,0.202176262,0.20925908
2.348346652,1.032855084,0.241500288,0.158329244,0.148572677
5.344775639,0.633169463,0.558770121,0.186229246,0.100721586
0.972130702,0.283529264,0.279907605,0.121824746,0.097056535
2.413151613,0.415065932,0.591386296,0.646767223,0.226233173
5.438624406,0.401249325,0.405875222,0.244874265,0.185158978
3.553199045,0.81024147,0.65320951,0.16825056,0.136663653
5.344775639,0.633169463,0.558770121,0.186229246,0.100721586
0.972130702,0.283529264,0.279907605,0.121824746,0.097056535
2.413151613,0.415065932,0.591386296,0.646767223,0.226233173
5.438624406,0.401249325,0.405875222,0.244874265,0.185158978
3.553199045,0.81024147,0.65320951,0.16825056,0.136663653
5.344775639,0.633169463,0.558770121,0.186229246,0.100721586
0.972130702,0.283529264,0.279907605,0.121824746,0.097056535
2.413151613,0.415065932,0.591386296,0.646767223,0.226233173
5.438624406,0.401249325,0.405875222,0.244874265,0.185158978
3.553199045,0.81024147,0.65320951,0.16825056,0.136663653
5.344775639,0.633169463,0.558770121,0.186229246,0.100721586
0.972130702,0.283529264,0.279907605,0.121824746,0.097056535
2.413151613,0.415065932,0.591386296,0.646767223,0.226233173
5.438624406,0.401249325,0.405875222,0.244874265,0.185158978
3.553199045,0.81024147,0.65320951,0.16825056,0.136663653
5.344775639,0.633169463,0.558770121,0.186229246,0.100721586
0.972130702,0.283529264,0.279907605,0.121824746,0.097056535
2.413151613,0.415065932,0.591386296,0.646767223,0.226233173
5.438624406,0.401249325,0.405875222,0.244874265,0.185158978
3.553199045,0.81024147,0.65320951,0.16825056,0.136663653
4.912146993,0.878868356,0.88234063,0.240530407,0.126163006
0.410843153,0.317699158,0.288010992,0.133651334,0.07755697
1.649005692,0.5187249,0.655826691,0.537767987,0.277968763
2.498164986,0.39647061,1.180063902,0.451741696,0.186802373
3.496028237,0.828845312,0.7860332,0.200255981,0.117372554
4.912146993,0.878868356,0.88234063,0.240530407,0.126163006
0.410843153,0.317699158,0.288010992,0.133651334,0.07755697
1.649005692,0.5187249,0.655826691,0.537767987,0.277968763
2.498164986,0.39647061,1.180063902,0.451741696,0.186802373
3.496028237,0.828845312,0.7860332,0.200255981,0.117372554
4.912146993,0.878868356,0.88234063,0.240530407,0.126163006
0.410843153,0.317699158,0.288010992,0.133651334,0.07755697
1.649005692,0.5187249,0.655826691,0.537767987,0.277968763
2.498164986,0.39647061,1.180063902,0.451741696,0.186802373
3.496028237,0.828845312,0.7860332,0.200255981,0.117372554
4.912146993,0.878868356,0.88234063,0.240530407,0.126163006
0.410843153,0.317699158,0.288010992,0.133651334,0.07755697
1.649005692,0.5187249,0.655826691,0.537767987,0.277968763
2.498164986,0.39647061,1.180063902,0.451741696,0.186802373
3.496028237,0.828845312,0.7860332,0.200255981,0.117372554
4.912146993,0.878868356,0.88234063,0.240530407,0.126163006
0.410843153,0.317699158,0.288010992,0.133651334,0.07755697
1.649005692,0.5187249,0.655826691,0.537767987,0.277968763
2.498164986,0.39647061,1.180063902,0.451741696,0.186802373
3.496028237,0.828845312,0.7860332,0.200255981,0.117372554
1.358572258,0.678667787,0.786634842,0.310240626,0.128263152
0.166375907,0.209850686,0.288878421,0.120190507,0.066508794
1.108391791,0.863474937,0.492342987,0.289987684,0.302483111
1.822904565,0.272750399,1.164787684,0.495077728,0.180025322
1.277869564,0.583558908,0.593369838,0.261095045,0.138223654
1.358572258,0.678667787,0.786634842,0.310240626,0.128263152
0.166375907,0.209850686,0.288878421,0.120190507,0.066508794
1.108391791,0.863474937,0.492342987,0.289987684,0.302483111
1.822904565,0.272750399,1.164787684,0.495077728,0.180025322
1.277869564,0.583558908,0.593369838,0.261095045,0.138223654
1.358572258,0.678667787,0.786634842,0.310240626,0.128263152
0.166375907,0.209850686,0.288878421,0.120190507,0.066508794
1.108391791,0.863474937,0.492342987,0.289987684,0.302483111
1.822904565,0.272750399,1.164787684,0.495077728,0.180025322
1.277869564,0.583558908,0.593369838,0.261095045,0.138223654
1.358572258,0.678667787,0.786634842,0.310240626,0.128263152
