Theta, Alpha, Low_beta, High_beta, Gamma
96.8516677009 , 45.1278273743 , 24.1441010603 , 10.6248616865 , 5.44415771792 ,
131.412509628 , 55.7299791124 , 29.4761011101 , 15.4668625366 , 8.87741692956 ,
112.345382268 , 51.1050770021 , 21.1708410558 , 9.00399013187 , 5.52899331064 ,
120.789362424 , 57.2562277992 , 40.6221969928 , 27.7952374434 , 26.2773844188 ,
101.175826552 , 45.9565679161 , 24.6818968188 , 11.5823186192 , 5.6060484507 ,
96.8516677009 , 45.1278273743 , 24.1441010603 , 10.6248616865 , 5.44415771792 ,
131.412509628 , 55.7299791124 , 29.4761011101 , 15.4668625366 , 8.87741692956 ,
112.345382268 , 51.1050770021 , 21.1708410558 , 9.00399013187 , 5.52899331064 ,
120.789362424 , 57.2562277992 , 40.6221969928 , 27.7952374434 , 26.2773844188 ,
101.175826552 , 45.9565679161 , 24.6818968188 , 11.5823186192 , 5.6060484507 ,
96.8516677009 , 45.1278273743 , 24.1441010603 , 10.6248616865 , 5.44415771792 ,
131.412509628 , 55.7299791124 , 29.4761011101 , 15.4668625366 , 8.87741692956 ,
112.345382268 , 51.1050770021 , 21.1708410558 , 9.00399013187 , 5.52899331064 ,
120.789362424 , 57.2562277992 , 40.6221969928 , 27.7952374434 , 26.2773844188 ,
101.175826552 , 45.9565679161 , 24.6818968188 , 11.5823186192 , 5.6060484507 ,
96.8516677009 , 45.1278273743 , 24.1441010603 , 10.6248616865 , 5.44415771792 ,
131.412509628 , 55.7299791124 , 29.4761011101 , 15.4668625366 , 8.87741692956 ,
112.345382268 , 51.1050770021 , 21.1708410558 , 9.00399013187 , 5.52899331064 ,
120.789362424 , 57.2562277992 , 40.6221969928 , 27.7952374434 , 26.2773844188 ,
101.175826552 , 45.9565679161 , 24.6818968188 , 11.5823186192 , 5.6060484507 ,
8.62103931478 , 9.45963126001 , 7.80554322041 , 4.88430682807 , 2.90266005114 ,
15.4969496094 , 9.33693002682 , 3.8352748796 , 3.17628720295 , 1.59489263225 ,
11.5676053185 , 9.58413805048 , 7.47275419521 , 2.68406951917 , 2.67359651726 ,
14.0173730391 , 14.2222039396 , 10.700433581 , 13.2773883223 , 11.8042554009 ,
8.67324897192 , 9.63902183062 , 7.94456243313 , 4.91755163346 , 2.80027552299 ,
8.62103931478 , 9.45963126001 , 7.80554322041 , 4.88430682807 , 2.90266005114 ,
15.4969496094 , 9.33693002682 , 3.8352748796 , 3.17628720295 , 1.59489263225 ,
11.5676053185 , 9.58413805048 , 7.47275419521 , 2.68406951917 , 2.67359651726 ,
14.0173730391 , 14.2222039396 , 10.700433581 , 13.2773883223 , 11.8042554009 ,
8.67324897192 , 9.63902183062 , 7.94456243313 , 4.91755163346 , 2.80027552299 ,
8.62103931478 , 9.45963126001 , 7.80554322041 , 4.88430682807 , 2.90266005114 ,
15.4969496094 , 9.33693002682 , 3.8352748796 , 3.17628720295 , 1.59489263225 ,
11.5676053185 , 9.58413805048 , 7.47275419521 , 2.68406951917 , 2.67359651726 ,
14.0173730391 , 14.2222039396 , 10.700433581 , 13.2773883223 , 11.8042554009 ,
8.67324897192 , 9.63902183062 , 7.94456243313 , 4.91755163346 , 2.80027552299 ,
8.62103931478 , 9.45963126001 , 7.80554322041 , 4.88430682807 , 2.90266005114 ,
15.4969496094 , 9.33693002682 , 3.8352748796 , 3.17628720295 , 1.59489263225 ,
11.5676053185 , 9.58413805048 , 7.47275419521 , 2.68406951917 , 2.67359651726 ,
14.0173730391 , 14.2222039396 , 10.700433581 , 13.2773883223 , 11.8042554009 ,
8.67324897192 , 9.63902183062 , 7.94456243313 , 4.91755163346 , 2.80027552299 ,
8.62103931478 , 9.45963126001 , 7.80554322041 , 4.88430682807 , 2.90266005114 ,
15.4969496094 , 9.33693002682 , 3.8352748796 , 3.17628720295 , 1.59489263225 ,
11.5676053185 , 9.58413805048 , 7.47275419521 , 2.68406951917 , 2.67359651726 ,
14.0173730391 , 14.2222039396 , 10.700433581 , 13.2773883223 , 11.8042554009 ,
8.67324897192 , 9.63902183062 , 7.94456243313 , 4.91755163346 , 2.80027552299 ,
10.9513014099 , 3.77878399418 , 7.65926401221 , 4.77615362393 , 2.8646445278 ,
7.15530053476 , 4.47581532734 , 3.07299745832 , 2.82172743515 , 1.47847198123 ,
7.74472879786 , 2.82923151992 , 6.46285775435 , 3.45246527344 , 1.88157083195 ,
8.75382566197 , 6.25714274446 , 9.33354838996 , 9.97415229437 , 12.2748520058 ,
9.9348025408 , 3.87294866997 , 7.97132610711 , 4.69451275412 , 2.81154352731 ,
10.9513014099 , 3.77878399418 , 7.65926401221 , 4.77615362393 , 2.8646445278 ,
7.15530053476 , 4.47581532734 , 3.07299745832 , 2.82172743515 , 1.47847198123 ,
7.74472879786 , 2.82923151992 , 6.46285775435 , 3.45246527344 , 1.88157083195 ,
8.75382566197 , 6.25714274446 , 9.33354838996 , 9.97415229437 , 12.2748520058 ,
9.9348025408 , 3.87294866997 , 7.97132610711 , 4.69451275412 , 2.81154352731 ,
10.9513014099 , 3.77878399418 , 7.65926401221 , 4.77615362393 , 2.8646445278 ,
7.15530053476 , 4.47581532734 , 3.07299745832 , 2.82172743515 , 1.47847198123 ,
7.74472879786 , 2.82923151992 , 6.46285775435 , 3.45246527344 , 1.88157083195 ,
8.75382566197 , 6.25714274446 , 9.33354838996 , 9.97415229437 , 12.2748520058 ,
9.9348025408 , 3.87294866997 , 7.97132610711 , 4.69451275412 , 2.81154352731 ,
10.9513014099 , 3.77878399418 , 7.65926401221 , 4.77615362393 , 2.8646445278 ,
7.15530053476 , 4.47581532734 , 3.07299745832 , 2.82172743515 , 1.47847198123 ,
7.74472879786 , 2.82923151992 , 6.46285775435 , 3.45246527344 , 1.88157083195 ,
8.75382566197 , 6.25714274446 , 9.33354838996 , 9.97415229437 , 12.2748520058 ,
9.9348025408 , 3.87294866997 , 7.97132610711 , 4.69451275412 , 2.81154352731 ,
15.1717332868 , 3.92948177408 , 6.70327541065 , 4.06489518254 , 2.87720143089 ,
5.73874865239 , 2.31224804861 , 2.91064644111 , 1.05922393651 , 0.768261625799 ,
10.5455167386 , 1.34665626078 , 6.07468790814 , 3.67126815181 , 1.83415594078 ,
13.9413117073 , 3.62750046105 , 9.9321217654 , 6.67191676218 , 10.1770957618 ,
14.3112180518 , 4.32979645162 , 7.85176947986 , 4.0085335122 , 2.79321902587 ,
15.1717332868 , 3.92948177408 , 6.70327541065 , 4.06489518254 , 2.87720143089 ,
5.73874865239 , 2.31224804861 , 2.91064644111 , 1.05922393651 , 0.768261625799 ,
10.5455167386 , 1.34665626078 , 6.07468790814 , 3.67126815181 , 1.83415594078 ,
13.9413117073 , 3.62750046105 , 9.9321217654 , 6.67191676218 , 10.1770957618 ,
14.3112180518 , 4.32979645162 , 7.85176947986 , 4.0085335122 , 2.79321902587 ,
15.1717332868 , 3.92948177408 , 6.70327541065 , 4.06489518254 , 2.87720143089 ,
5.73874865239 , 2.31224804861 , 2.91064644111 , 1.05922393651 , 0.768261625799 ,
10.5455167386 , 1.34665626078 , 6.07468790814 , 3.67126815181 , 1.83415594078 ,
13.9413117073 , 3.62750046105 , 9.9321217654 , 6.67191676218 , 10.1770957618 ,
14.3112180518 , 4.32979645162 , 7.85176947986 , 4.0085335122 , 2.79321902587 ,
15.1717332868 , 3.92948177408 , 6.70327541065 , 4.06489518254 , 2.87720143089 ,
5.73874865239 , 2.31224804861 , 2.91064644111 , 1.05922393651 , 0.768261625799 ,
10.5455167386 , 1.34665626078 , 6.07468790814 , 3.67126815181 , 1.83415594078 ,
13.9413117073 , 3.62750046105 , 9.9321217654 , 6.67191676218 , 10.1770957618 ,
14.3112180518 , 4.32979645162 , 7.85176947986 , 4.0085335122 , 2.79321902587 ,
6.60422450872 , 5.67841350315 , 4.89152791052 , 4.21013145675 , 2.4165240923 ,
11.9437527658 , 3.44596282691 , 2.13922373575 , 1.19004916295 , 0.627680767363 ,
7.32064067911 , 2.30536956901 , 4.17458000788 , 2.57606309885 , 1.65758205899 ,
9.60500554864 , 5.99563969024 , 6.92753069106 , 5.24782256611 , 6.77059376204 ,
6.22950832174 , 6.01608523349 , 5.44412807662 , 4.24557853963 , 2.29530719608 ,
6.60422450872 , 5.67841350315 , 4.89152791052 , 4.21013145675 , 2.4165240923 ,
11.9437527658 , 3.44596282691 , 2.13922373575 , 1.19004916295 , 0.627680767363 ,
7.32064067911 , 2.30536956901 , 4.17458000788 , 2.57606309885 , 1.65758205899 ,
9.60500554864 , 5.99563969024 , 6.92753069106 , 5.24782256611 , 6.77059376204 ,
6.22950832174 , 6.01608523349 , 5.44412807662 , 4.24557853963 , 2.29530719608 ,
6.60422450872 , 5.67841350315 , 4.89152791052 , 4.21013145675 , 2.4165240923 ,
11.9437527658 , 3.44596282691 , 2.13922373575 , 1.19004916295 , 0.627680767363 ,
7.32064067911 , 2.30536956901 , 4.17458000788 , 2.57606309885 , 1.65758205899 ,
9.60500554864 , 5.99563969024 , 6.92753069106 , 5.24782256611 , 6.77059376204 ,
6.22950832174 , 6.01608523349 , 5.44412807662 , 4.24557853963 , 2.29530719608 ,
6.60422450872 , 5.67841350315 , 4.89152791052 , 4.21013145675 , 2.4165240923 ,
11.9437527658 , 3.44596282691 , 2.13922373575 , 1.19004916295 , 0.627680767363 ,
7.32064067911 , 2.30536956901 , 4.17458000788 , 2.57606309885 , 1.65758205899 ,
9.60500554864 , 5.99563969024 , 6.92753069106 , 5.24782256611 , 6.77059376204 ,
6.22950832174 , 6.01608523349 , 5.44412807662 , 4.24557853963 , 2.29530719608 ,
6.60422450872 , 5.67841350315 , 4.89152791052 , 4.21013145675 , 2.4165240923 ,
11.9437527658 , 3.44596282691 , 2.13922373575 , 1.19004916295 , 0.627680767363 ,
7.32064067911 , 2.30536956901 , 4.17458000788 , 2.57606309885 , 1.65758205899 ,
9.60500554864 , 5.99563969024 , 6.92753069106 , 5.24782256611 , 6.77059376204 ,
6.22950832174 , 6.01608523349 , 5.44412807662 , 4.24557853963 , 2.29530719608 ,
8.83411858037 , 5.67792200048 , 3.18858519952 , 3.13844815656 , 2.52677308259 ,
6.93924389026 , 3.47814431856 , 2.64823516843 , 1.12416005941 , 1.1465893882 ,
3.87487593273 , 1.70921451798 , 6.50379597957 , 2.08043771202 , 2.18176486728 ,
7.40049884075 , 3.71354702335 , 5.76788616889 , 5.10845450367 , 10.1038689735 ,
9.39699673242 , 5.77582647265 , 3.3092866336 , 3.07258486928 , 2.36232548653 ,
8.83411858037 , 5.67792200048 , 3.18858519952 , 3.13844815656 , 2.52677308259 ,
6.93924389026 , 3.47814431856 , 2.64823516843 , 1.12416005941 , 1.1465893882 ,
3.87487593273 , 1.70921451798 , 6.50379597957 , 2.08043771202 , 2.18176486728 ,
7.40049884075 , 3.71354702335 , 5.76788616889 , 5.10845450367 , 10.1038689735 ,
9.39699673242 , 5.77582647265 , 3.3092866336 , 3.07258486928 , 2.36232548653 ,
8.83411858037 , 5.67792200048 , 3.18858519952 , 3.13844815656 , 2.52677308259 ,
6.93924389026 , 3.47814431856 , 2.64823516843 , 1.12416005941 , 1.1465893882 ,
3.87487593273 , 1.70921451798 , 6.50379597957 , 2.08043771202 , 2.18176486728 ,
7.40049884075 , 3.71354702335 , 5.76788616889 , 5.10845450367 , 10.1038689735 ,
